"fips","trump","covid","pop","urban","poverty","seniors","income"
48163,1,5.15744852644328,19816,0,27.5,12.2880500605571,41038
48165,1,2.85632266398737,20901,0,15.4,8.86560451653031,56321
48167,1,3.80508449495398,337890,1,12.1,14.3848589777738,71959
48169,1,2.0066889632107,6578,0,24.6,11.0823958650046,46490
48171,1,1.3654678406208,26804,0,9.6,29.7231756454261,61433
48173,1,1.00864553314121,1388,0,9.7,15.2017291066282,83330
48175,1,2.17563291139241,7584,1,14.4,22.9166666666667,55008
48177,1,5.44991837126669,20826,0,16.9,16.724286949006,49829
48179,1,2.42977848823932,21895,0,16.7,16.2183146837177,49121
48181,1,2.09640946033689,133991,1,12.3,17.6258106887776,51403
48183,1,2.87130073480078,123707,1,15.1,15.3718059608591,50610
48185,1,4.26657263751763,28360,0,17.5,17.3801128349788,49498
48187,1,2.3898249172236,163694,1,8.5,13.812968099014,73864
48189,1,8.05202483003252,33830,0,18.4,13.4348211646468,42782
48191,1,1.45310435931308,3028,0,24.1,23.1505944517834,32597
48193,1,2.46346063177746,8484,0,14.7,24.8939179632249,49210
48195,1,3.7525169320886,5463,0,11.6,14.772103239978,57240
48197,1,1.65731769505354,3922,0,17.4,22.4885262621112,42469
48199,1,2.57136364430926,57207,1,12.4,16.6553044207877,60909
48201,0,3.4870884402417,4698619,1,16.5,10.5193462164095,60241
48203,1,1.68150346191889,66726,0,14.7,16.9004585918533,50131
48205,1,3.34579106602598,5619,0,9.5,15.1984338850329,72451
48207,1,1.53105109237915,5813,0,23.1,21.9680027524514,40880
48209,0,3.1379277818453,222631,1,13.2,10.9885864951422,68180
48211,1,4.31372549019608,3825,0,9.6,14.4575163398693,66849
48213,1,2.16406031665026,82299,0,19.4,21.9711053597249,43337
48215,0,4.16749909635667,865939,1,30,11.089118286623,38785
48217,1,2.4343951147054,36354,0,12.6,20.7459976893877,48670
48219,1,3.59007832898172,22980,0,19.5,14.6736292428198,46764
48221,1,2.07476419379883,60537,1,10.2,24.5634900969655,60917
48223,1,1.90165715838087,36810,0,14.6,18.2559087204564,52079
48225,1,1.86887651603436,23169,0,26.1,22.0078553239242,39533
48227,1,3.37639540305549,36459,0,20.6,12.8719931978387,50423
48229,1,2.4191866527633,4795,1,17.8,15.3701772679875,42671
48231,1,2.17114194812059,96493,1,13.6,15.8374182583193,53360
48233,1,1.80205679781111,21198,0,13,16.5440135861874,54351
48235,1,0.919842312746386,1522,1,8.1,21.484888304862,56775
48237,1,1.78672396245618,8843,0,17.7,17.1208865769535,48780
48239,1,4.47761194029851,14874,0,12.9,18.0516337232755,54088
48241,1,1.45517395182872,35872,0,19.2,19.5723684210526,47551
48243,1,1.02131438721137,2252,0,13.1,34.8579040852575,51343
48245,1,3.35214371708346,255001,1,18.7,14.4348453535476,48121
48247,0,3.50609756097561,5248,0,25.2,17.5876524390244,36176
48249,1,4.28200480133261,40822,0,21.2,15.349566410269,41919
48251,1,2.27764777283046,171361,1,10.7,14.1333208839818,62635
48253,1,3.09330372912146,19817,1,22,15.5977191300399,43903
48255,1,6.1405750798722,15650,0,21.8,14.0894568690096,48743
48257,1,2.86342927337469,128622,1,11.5,11.9474117958048,67434
48259,1,0.858876887009487,45641,1,7.5,19.0683814990907,90937
48261,1,2.48868778280543,442,0,14.3,15.6108597285068,42153
48263,1,1.65289256198347,726,0,13.3,27.1349862258953,47625
48265,1,1.36246541360557,52405,0,13.9,27.69964698025,53704
48267,1,0.756533700137552,4362,0,17.6,29.3443374598808,42503
48269,1,0.36101083032491,277,0,13.7,17.6895306859206,57925
48271,1,2.09715954340324,3767,0,21.1,23.9978762941333,43192
48273,1,3.32808635034855,31129,0,25,12.9429149667513,42605
48275,1,3.12072269367643,3653,0,20.4,19.8740761018341,39726
48277,1,3.92736486486486,49728,0,14.4,19.1984395109395,45767
48279,1,4.68156254749962,13158,0,20,16.8414652682779,42700
48281,1,1.53092467850582,21229,1,12.9,19.6193885722361,55151
48283,1,5.07236754747046,7531,0,29.6,13.7166378966937,40072
48285,1,5.87767279960219,20110,0,13.5,23.2869219293884,51128
48287,1,1.43490433971069,17144,0,12.3,18.4904339710686,55834
48289,1,2.17718587145339,17270,0,15.6,24.4701795020266,47065
48291,1,2.68294660750901,86323,1,15.1,12.803076816144,52577
48293,1,2.92529444279094,23519,0,22.2,19.4778689570135,43226
48295,1,2.20566318926975,3355,0,12,18.1222056631893,57332
48297,1,3.23031398980766,12166,0,18.7,20.5901693243465,48814
48299,1,0.896239489975053,21646,0,12.3,36.1175274877576,54019
48303,1,6.76226041924193,307412,1,17.6,12.4263203778642,50377
48305,1,3.62429811128127,5877,1,18.3,16.8453292496172,43436
48307,1,2.77951671466132,7987,0,18.5,22.2611744084137,42719
48309,1,4.1350002160192,254607,1,18.9,14.3809871684596,48858
48311,1,3.33778371161549,749,0,11.1,24.0320427236315,64633
48313,1,5.34599916793787,14422,0,17.9,15.6080987380391,45445
48315,1,1.75261885576148,9928,0,21.9,26.3698630136986,38011
48317,1,1.6686945941248,5753,1,13.6,11.2636885103424,56484
48319,1,1.9392523364486,4280,0,12.7,28.5046728971963,49560
48321,1,3.08054278835631,36552,0,18.4,17.0195885314073,48830
48323,0,7.46003248696247,58485,0,25.9,11.8252543387193,35594
48325,1,2.53726360440683,50921,1,12.3,16.6709216236916,59304
48327,1,3.64656381486676,2139,0,21.6,31.7438055165965,35881
48329,1,3.38571544461055,172578,1,10.1,10.313597329903,80189
48331,1,2.19649039035454,25131,0,15.6,20.2857029167164,46720
48333,1,1.62568583621215,4921,0,14.6,28.5714285714286,47068
48335,1,2.60282381829343,8145,0,21.4,15.2240638428484,48529
48337,1,1.57685241886099,19596,0,13.8,22.0197999591753,50542
48339,1,2.40825823920125,590925,1,9.3,13.0749249058679,77598
48341,1,6.38585059343728,21485,0,12.2,10.9052827554108,53785
48343,1,1.94505227327984,12339,0,20.2,21.9061512278142,41418
48345,1,1.37763371150729,1234,0,17.8,30.3079416531605,41009
48347,1,2.7803564091248,65711,0,21.6,14.7387804172817,45357
48349,1,4.14405326339151,49565,0,20,17.0059517804903,46259
48351,1,1.38222028226393,13746,1,22.3,20.5223337698239,43367
48353,1,3.0370822317131,14751,0,18.2,18.2631685987391,42522
48355,1,5.92522048776448,362265,1,16.2,14.4134818434019,53034
48357,1,3.42816929727556,9947,0,10.5,11.1390368955464,49845
48359,1,1.3139371187236,2131,1,13,14.9694978883153,56590
48361,1,2.71263102474513,83572,1,13.4,16.1130522184464,56556
48363,1,2.63896103896104,28875,0,15.9,19.5290043290043,46067
48365,1,2.1168135476067,23148,0,15.7,19.1722827026093,51192
48367,1,1.87394757572035,138371,1,8.3,15.3948442954087,73718
48369,1,6.03203568532036,9864,0,13.5,13.7368207623682,50539
48371,1,3.35609009123971,15673,0,19.5,13.4052191667198,47008
48373,1,2.67434190801703,50031,0,15,18.8323239591453,46017
48375,1,7.32649104038513,119648,1,19.7,12.4715833110457,41912
48377,0,2.59067357512953,6948,0,22.4,23.1289579735176,37738
48379,1,1.37346821284645,12159,0,14.5,24.5332675384489,47572
48381,1,4.55856345077089,136271,1,8.5,15.0699708668756,69600
48383,1,2.59288960171077,3741,0,10,11.2269446672013,65273
48385,1,3.62277170787809,3478,0,18.1,29.4709603220242,39506
48387,1,1.65913757700205,12175,0,18.2,24.6078028747433,42233
48389,1,1.86046511627907,15695,0,21.5,11.9719655941383,45341
48391,1,4.46530147895336,7032,0,16.3,22.6109215017065,44821
48393,1,1.66112956810631,903,0,7.8,20.9302325581395,67470
48395,1,2.52256422124508,17284,1,15.8,19.301087711178,44917
48397,1,2.03264551894056,100657,1,5.1,12.5117974904875,102858
48399,1,2.99980457299199,10234,0,16.9,20.7738909517295,42205
48401,1,1.94123048668503,54450,1,16.4,16.5785123966942,49788
48403,1,0.991595051468505,10589,0,17.6,30.54112758523,40641
48405,1,3.42565597667638,8232,0,22.2,26.4455782312925,38826
48407,1,0.842647724502942,28719,0,17.5,21.8670566523904,47028
48409,1,2.37992017101939,66893,1,17.3,14.9806407247395,53559
48411,1,4.01387512388504,6054,0,16.8,23.8850346878097,43827
48413,1,1.89982728842832,2895,0,16.5,19.5854922279793,47317
48415,1,6.91924581999289,16866,0,15.8,15.1073164947231,53059
48417,1,1.22963418383031,3253,0,13.4,20.4426683061789,57126
48419,1,2.20709733259895,25418,0,20.6,17.511212526556,41961
48421,1,2.56576810652809,3079,0,12.1,14.9074374797012,57052
48423,1,2.94760252105585,230221,1,15,16.5102227859318,56848
48425,1,1.83007985803017,9016,1,9.7,18.9108251996451,63929
48427,0,6.15420379697792,64525,0,33.2,11.3335916311507,30490
48429,1,1.80218382274992,9433,0,19.4,19.7604155623874,43115
48431,1,1.60183066361556,1311,0,12.6,14.41647597254,59064
48433,1,1.54185022026432,1362,0,14.6,26.5051395007342,46915
48435,1,3.06013837147419,3758,0,14.2,18.3608302288451,54774
48437,1,2.17099973197534,7462,0,19.2,17.6762262128116,43084
48439,0,3.33435494987604,2084931,1,12.1,11.2803253441001,66059
48441,1,3.6617262423714,137640,1,16,14.3744551002616,48040
48443,1,0.486026731470231,823,0,18.9,29.6476306196841,41413
48445,1,5.21689590624237,12287,0,22.4,15.13795067958,41268
48447,1,1.25412541254125,1515,0,14.3,28.0528052805281,42701
48449,1,4.90721399812309,33033,0,18.6,14.2736051826961,45604
48451,1,4.38619499276582,118189,1,15.5,15.4557530734671,51393
48453,0,2.59869324592811,1248743,1,12,9.88153687347997,76255
48455,1,1.4246947082768,14740,0,17.7,26.6010854816825,40486
48457,1,1.27212389380531,21696,0,18.2,22.3359144542773,44041
48459,1,1.25787687833253,41260,1,15.9,18.3616093068347,48554
48461,1,0.762734949605012,3671,0,14.2,14.0561154998638,53867
48463,1,3.17738210534158,26846,0,22.9,16.8293228041421,39725
48465,1,5.48894488701024,49208,0,18.9,14.2273614046496,44276
48467,1,1.75297666863029,56019,0,15.6,20.2092147307164,51152
48469,1,4.69821263649698,92035,1,15.4,16.1047427609062,51646
48471,1,5.44426048565121,72480,0,26.1,13.2050220750552,43681
48473,1,1.91055227195723,53126,1,15.9,11.8247185935324,59807
48475,1,1.49317406143345,11720,0,13.9,13.9590443686007,53621
48477,1,2.05651133644753,35108,0,13.8,21.6816679958984,54332
48479,0,5.63190895581893,275910,1,25.7,9.45489471204378,44919
48481,1,3.48879117710661,41619,0,16.8,17.0835435738485,48040
48483,1,1.88788287420536,5191,0,14,19.3411674051243,48018
48485,1,3.24993942330991,132064,1,17.8,14.7171068572813,47477
48487,1,3.18252730109204,12820,0,15.3,18.3697347893916,44735
48489,0,5.81919590983035,21515,0,35,14.0134789681617,33171
48491,0,1.74654458382373,566719,1,6.4,12.1732287077017,87817
48493,1,2.00103536158012,50224,1,10.9,15.9943453329086,71207
48495,1,1.98186528497409,7720,0,14.1,12.2927461139896,56781
48497,1,1.46109362418564,68305,1,9.9,14.9183807920357,66387
48499,1,1.48906468124709,45129,0,15.3,26.9050942852711,48384
48501,1,4.39995343964614,8591,0,12.1,11.8379699685718,61560
48503,1,3.51343862565808,18045,0,13.9,20.3435854807426,49301
48505,1,2.54404510218464,14190,0,32.1,12.9880197322058,33160
48507,0,4.68997746807978,11983,0,32,14.2869064508053,30076
49001,1,1.39817629179331,6580,0,9.4,14.4072948328267,55940
49003,1,2.02729754322111,54950,1,7.3,12.9372156505914,62689
49005,1,3.53983693770265,127068,1,12.9,9.45084521673435,60315
49007,1,1.67743845280971,20269,0,14.4,17.4157580541714,51394
49009,1,0.102040816326531,980,0,6.5,25.6122448979592,58910
49011,1,2.63453440731505,351713,1,5.7,10.0414258216216,84381
49013,1,1.08194750550992,19964,0,11.9,12.0617110799439,60767
49015,1,1.50788895546235,10014,0,12.5,17.25584182145,54213
49017,1,2.18503937007874,5080,0,11.2,23.1299212598425,51028
49019,0,1.48504711183941,9764,0,11.3,18.6091765669807,50750
49021,1,1.89483657034581,52775,0,14.4,12.6954050213169,51393
49023,1,2.54435309389875,11555,1,8.5,12.0900043271311,65379
49025,1,1.3620443637307,7709,0,10.5,23.2974445453366,52355
49027,1,2.19898508380747,13006,0,11.3,17.1613101645394,58644
49029,1,1.96762141967621,12045,1,4,11.4736405147364,98875
49031,1,2.00692041522491,1445,0,18.6,28.8581314878893,40387
49033,1,0.892857142857143,2464,0,8.9,17.9788961038961,60695
49035,0,4.43541005680039,1152633,1,9,10.8583564759989,73619
49037,1,5.48255550521069,15449,0,22.6,14.1562560683539,42982
49039,1,1.61643209352447,30623,0,14.8,13.9535643144042,52910
49041,1,1.58781744742096,21539,0,12,16.0870978225544,54339
49043,0,3.68921851525052,41933,0,6.2,12.5915150358906,105374
49045,1,2.33882157723833,69907,1,6.8,9.15931165691562,73584
49047,1,0.959422089282691,35438,0,11.5,10.8781533946611,63631
49049,1,4.99748478414948,622213,1,9.4,7.72243588610331,75296
49051,1,3.78760529482551,33240,0,5.3,11.4981949458484,85380
49053,1,3.16423995340711,171700,1,9.7,21.4583576004659,57069
49055,1,0.929368029739777,2690,0,12.9,21.7843866171004,47175
49057,1,2.83742720169762,256359,1,9.4,11.6621612660371,68106
50001,0,0.33808454818381,36973,0,8.9,19.8983041679063,68878
50003,0,0.398529370491987,35631,0,11.4,22.9070191687014,52510
50005,0,0.158405385783117,30302,0,12.5,20.9689129430401,50368
50007,0,0.630726976642442,164572,1,10.4,14.9922222492283,74240
50009,1,0.176,6250,0,15.5,25.568,43671
50011,0,0.289350680884644,49421,1,11.1,16.0356933287469,61129
50013,0,0.239774330042313,7090,1,8.2,20.8039492242595,67746
50015,0,0.24901185770751,25300,0,11,17.3636363636364,60230
50017,0,0.137935790889341,28999,0,10.2,21.2041794544639,62300
50019,0,0.159809714944067,26907,0,12.2,22.7189950570484,48688
50021,0,0.235205890373602,58672,0,10.4,22.0803790564494,51723
50023,0,0.237358101135191,58140,0,10.8,19.6267629858961,61808
50025,0,0.360183366077276,42756,0,12,22.8201889793245,54441
50027,0,0.23152335130051,55286,0,9.6,23.306081105524,57438
51001,1,3.79180550413427,32412,0,17.3,23.5653461680859,42879
51003,0,1.4891738258614,108718,1,8.7,18.6243308375798,80392
51005,1,1.03286384976526,14910,0,14.8,24.6948356807512,46538
51007,1,1.16037808345501,13013,1,9.9,19.7955890263583,57280
51009,1,1.99898945240952,31666,1,13,21.1614981368029,50580
51011,1,2.00113629190076,15841,1,13.5,20.70576352503,51131
51013,0,2.026347144042,237521,1,6.3,10.613377343477,120950
51015,1,0.970088924818108,75457,1,9,21.0411227586572,60556
51017,1,0.629077353215284,4292,0,10.7,27.6561043802423,50564
51019,1,1.68895322996432,78747,1,10.4,21.3201772765947,61186
51021,1,1.33481646273637,6293,0,14.1,22.9938026378516,47681
51023,1,1.47549358415723,33277,1,7.4,22.7454397932506,71874
51025,0,2.606201171875,16384,0,22.5,21.502685546875,41803
51027,1,1.31002309033505,21221,0,27.6,22.1902832100278,32144
51029,1,4.53556091534796,16999,1,20.2,19.6482146008589,45889
51031,1,1.46071707929347,54973,1,11.3,19.906135739363,51525
51033,1,1.4786169244768,30772,1,9.7,16.4110230079293,67335
51035,1,2.17640707247942,29636,0,15.7,24.4938588203536,41517
51036,0,1.52715747010517,6941,1,12.3,24.6074052730154,56872
51037,1,1.90149103702463,11938,0,19.3,22.2315295694421,41382
51041,0,2.11185577066526,348556,1,7.6,14.926726264933,80734
51043,1,0.874474970736074,14523,1,6.5,21.1251118914825,84021
51045,1,1.26382306477093,5064,1,11.9,23.4004739336493,50858
51047,1,2.73048072658555,51859,1,8.7,15.7330453730307,72111
51049,1,1.30492404934244,9809,0,15.7,22.4181873789377,46300
51051,1,1.08792949115197,14523,0,25.2,22.0202437512911,35047
51053,1,1.94188369729048,28529,1,12.5,17.4594272494655,57257
51057,0,1.8408279146442,10919,0,13.7,23.1706200201484,50785
51059,0,2.12531337032226,1150795,1,6.1,13.4550462940837,122035
51061,1,1.59603820304209,70675,1,6.1,16.4414573753095,93462
