"","gid","y_start","y_end","lnpeaksize","left","nat","right","rel","EAP","ECA","LAC","MENA","NA","SAS","SSA","mul_bases","total_atks","nonterr_deaths","competitor","ly","lpop","polity","elevation","diversity","shr_trans","duration","dur2","lcomp","latks","polity2","polity2sqr","end"
"13",13,1992,1992,2.30258512496948,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,10.5023918151855,16.5357627868652,10,30.1257,0,0,1,1,0.6931471824646,1.0986123085022,20,400,1
"14",14,1979,1987,4.60517024993896,1,0,0,0,0,1,0,0,0,0,0,0,50,5,9.55555555555556,10.2434921264648,17.8492336273193,8,375.12,0,0.2,9,81,2.35665225982666,3.93182563781738,18,324,1
"15",15,1977,1977,2.30258512496948,0,1,0,0,0,1,0,0,0,0,0,0,2,0,10,10.12131690979,17.8185520172119,8,375.12,0,0.5,1,1,2.39789533615112,1.0986123085022,18,324,1
"16",16,1994,2003,2.30258512496948,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,6.93975830078125,16.5447120666504,-2,999.8261,0,0,10,100,0.6931471824646,0.6931471824646,8,64,1
"17",17,2007,NA,4.60517024993896,NA,NA,NA,NA,0,0,0,0,0,1,0,0,4,5,61,7.29639148712158,20.95680809021,9,621.8081,0,0,9,81,4.12713432312012,1.60943794250488,19,361,0
"18",18,2011,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,3,0,65.3333333333333,7.29639148712158,20.95680809021,9,621.8081,0,0,5,25,4.19469261169434,1.3862943649292,19,361,0
"19",19,1993,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,2,5,4.54166666666667,5.3176589012146,18.0710830688477,1,1330.062,0,0,23,529,1.71229529380798,1.0986123085022,11,121,0
"20",20,2010,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,4,4,0,7.20782423019409,16.8639488220215,-4,667.4828,0,0,6,36,0,1.60943794250488,6,36,0
"21",21,1970,1990,9.21034049987793,0,1,0,0,0,0,0,0,0,0,1,0,534,266,0.714285714285714,8.68849182128906,17.441463470459,5,1034.837,0,0,21,441,0.538996517658234,6.28226661682129,15,225,1
"22",22,2008,NA,6.90775537490845,0,0,0,1,0,0,0,0,0,0,1,0,6,8,6.11111111111111,NA,16.3048419952393,0,409.9049,0,0,8,64,1.9616584777832,1.94591009616852,10,100,0
"23",23,2003,NA,NA,0,1,0,0,0,0,0,1,0,0,0,0,2,1,10.0714285714286,10.4040603637695,15.941370010376,6,508.4611,0,0,13,169,2.40436768531799,1.0986123085022,16,256,0
"24",24,2011,NA,9.21034049987793,0,0,0,1,0,0,0,1,0,0,0,0,9,32,25.1666666666667,NA,16.8535346984863,-7,513.9543,0,0,5,25,3.26448631286621,2.30258512496948,3,9,0
"25",25,2013,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,1,30,12,8.91561508178711,15.5388622283936,6,1249.193,0,0,3,9,2.56494927406311,0.6931471824646,16,256,0
"26",26,2013,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,32,11,7,7.91047143936157,18.3766098022461,-4,321.5979,0,0,3,9,2.0794415473938,3.49650764465332,6,36,0
"27",27,2013,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,1,2,28.25,NA,16.7295150756836,-9,513.9543,0,0,3,9,3.37587952613831,0.6931471824646,1,1,0
"28",28,2004,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,9,2,13.3846153846154,6.53680038452148,17.1708831787109,6,2565.382,0,0,12,144,2.66615915298462,2.30258512496948,16,256,0
"29",29,1984,1985,2.30258512496948,0,1,0,0,0,1,0,0,0,0,0,0,2,1,2,10.1577711105347,17.8511085510254,10,538.7296,0,1,2,4,1.0986123085022,1.0986123085022,20,400,1
"30",30,1995,1995,2.30258512496948,0,1,0,0,0,0,0,0,0,1,0,0,2,1,33,6.4334282875061,20.6829471588135,9,621.8081,0.5,1,1,1,3.52636051177979,1.0986123085022,19,361,1
"31",31,1994,1994,2.30258512496948,0,1,0,0,0,0,0,0,0,1,0,0,2,0,30,6.37962865829468,20.6637325286865,8,621.8081,0,1,1,1,3.43398714065552,1.0986123085022,18,324,1
"32",32,1977,1981,2.30258512496948,0,1,0,0,0,0,0,1,0,1,0,1,2,0,4.64,6.09363698959351,18.8200263977051,-4.4,892.42876,0,0,5,25,1.72988402843475,1.0986123085022,5.59999990463257,31.3599987030029,1
"33",33,2000,NA,4.60517024993896,0,1,0,0,0,0,0,1,0,0,0,1,128,176,11.0588235294118,9.7105598449707,15.5590162277222,6,508.4611,0,0,16,256,2.48979663848877,4.85981225967407,16,256,0
"34",34,2002,NA,4.60517024993896,0,0,1,0,0,0,0,0,0,1,0,0,3,0,32.3333333333333,6.953200340271,18.9756240844727,6,1018.028,0,0,14,196,3.50655794143677,1.3862943649292,16,256,0
"35",35,2013,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,3,7,7,7.88809108734131,18.3564434051514,-4,321.5979,0,0,3,9,2.0794415473938,1.3862943649292,6,36,0
"36",36,2014,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,3,0,4,6.51451063156128,17.1082382202148,0,999.8261,0,0,2,4,1.60943794250488,1.3862943649292,10,100,0
"37",37,2007,NA,NA,0,0,0,1,1,0,0,0,0,0,0,0,6,0,9.6,7.66364192962646,18.3558921813965,8,441.9939,0,0,9,81,2.36085391044617,1.94591009616852,18,324,0
"38",38,2003,2007,4.60517024993896,0,1,0,0,0,0,0,0,0,1,0,1,11,32,38.2,6.76199769973755,20.2578372955322,2,819.91805,0,0,5,25,3.66867685317993,2.4849066734314,12,144,1
"39",39,2012,NA,NA,0,0,0,1,0,0,0,0,0,0,1,0,9,79,6,6.55931568145752,16.6465358734131,5,343.7438,0,0,4,16,1.94591009616852,2.30258512496948,15,225,0
"40",40,2012,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,24,49,19,8.5923023223877,17.3384284973145,3,312.0478,0,0,4,16,2.99573230743408,3.21887588500977,13,169,0
"41",41,2005,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,3,7,59.25,7.34610176086426,20.9690017700195,9,621.8081,0,0,11,121,4.09850263595581,1.3862943649292,19,361,0
"42",42,1999,2000,2.30258512496948,0,1,0,0,0,0,0,0,0,1,0,0,1,2,23,6.72467088699341,18.7237854003906,-6,1018.028,0,0,2,4,3.178053855896,0.6931471824646,4,16,1
"43",43,2012,NA,6.90775537490845,0,0,0,1,0,0,0,1,0,0,0,0,198,1545,27.2,NA,16.7459030151367,-9,513.9543,0.591682419659735,0.352941176470588,4,16,3.33932209014893,5.29330492019653,1,1,0
"44",44,2004,NA,6.90775537490845,0,0,0,1,0,0,0,1,0,0,0,1,482,2689,9.69230769230769,8.31154823303223,16.7255687713623,-3,562.18745,0.46,0,12,144,2.36952447891235,6.18001651763916,7,49,0
"45",45,2014,NA,4.60517024993896,0,0,0,1,0,0,0,0,0,1,0,0,10,8,66,7.47240829467773,20.9925708770752,9,621.8081,0.32,0,2,4,4.20469284057617,2.39789533615112,19,361,0
"46",46,2006,NA,4.60517024993896,0,0,0,1,0,0,0,1,0,0,0,0,50,99,2.09090909090909,8.42605018615723,17.4416065216064,2,572.8028,0,0,10,100,1.12846529483795,3.93182563781738,12,144,0
"47",47,2011,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,4,3,11.3333333333333,9.23099327087402,15.6397790908813,0,423.6434,0,0,5,25,2.51230573654175,1.60943794250488,10,100,0
"48",48,1970,NA,4.60517024993896,0,1,0,0,0,0,0,1,0,0,0,1,1,0,8.74468085106383,9.84006118774414,15.8224906921387,1,510.292166666667,0,0,46,2116,2.27672147750854,0.6931471824646,11,121,0
"49",49,1978,NA,2.30258512496948,0,0,0,1,0,0,0,1,0,0,0,1,3,0,9.71794871794872,8.84638690948486,15.6256418228149,-4.5,881.57365,0,0,38,1444,2.37191987037659,1.3862943649292,5.5,30.25,0
"50",50,2011,NA,NA,0,1,0,0,0,0,0,1,0,0,0,0,1,1,11.3333333333333,8.67401504516602,15.6549882888794,0,423.6434,0,0,5,25,2.51230573654175,0.6931471824646,10,100,0
"51",51,2004,NA,6.90775537490845,0,0,0,1,0,0,0,0,0,0,1,0,1579,3186,5.23076923076923,NA,16.4479846954346,5,409.9049,0.762617631151974,0.124401913875598,12,144,1.82949984073639,7.36518001556396,15,225,0
"52",52,2003,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,4,13,58.1428571428571,7.25587606430054,20.9441967010498,9,621.8081,0,0,13,169,4.0799560546875,1.60943794250488,19,361,0
"53",53,1989,NA,4.60517024993896,0,0,0,1,0,0,0,0,0,1,0,0,8,2,25.4285714285714,6.71132898330688,18.6759967803955,7,1018.028,0,0,27,729,3.27444577217102,2.19722461700439,17,289,0
"54",54,1993,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,4,3,50.0416666666667,7.25587606430054,20.9441967010498,9,621.8081,0,0,23,529,3.93264222145081,1.60943794250488,19,361,0
"55",55,2016,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,3,9,15,7.25002527236938,17.783634185791,8,702.4269,0,0,0,0,2.7725887298584,1.3862943649292,18,324,0
"56",56,2002,NA,2.30258512496948,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0.2,8.44365787506104,14.5442094802856,9,741.545,0,0,14,196,0.182321563363075,1.0986123085022,19,361,0
"57",57,1987,1987,2.30258512496948,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,7.16154813766479,15.6818723678589,9,1192.57,0,1,1,1,0.6931471824646,0.6931471824646,19,361,1
"58",58,1984,2000,4.60517024993896,1,0,0,0,1,0,0,0,0,0,0,0,9,5,5.05882352941176,7.38224983215332,18.1721115112305,8,441.9939,0,0,17,289,1.80151569843292,2.30258512496948,18,324,1
"59",59,2014,NA,2.30258512496948,0,0,0,1,0,0,0,1,0,0,0,0,3,3,3,8.46791744232178,17.5011730194092,2,572.8028,0,0,2,4,1.3862943649292,1.3862943649292,12,144,0
"60",60,1988,2013,4.60517024993896,1,0,0,0,1,0,0,0,0,0,0,1,1,0,8.84615384615385,7.81219530105591,17.8577556610107,0.5,494.91745,0,0,26,676,2.28708100318909,0.6931471824646,10.5,110.25,1
"61",61,2002,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,2,0,12,6.51580142974854,17.1591930389404,6,2565.382,0,0,14,196,2.56494927406311,1.0986123085022,16,256,0
"62",62,1990,NA,4.60517024993896,0,1,0,0,0,0,0,0,0,1,0,1,10,84,27.2222222222222,7.21908521652222,20.4155540466309,5,353.6421,0,0,26,676,3.3401095867157,2.39789533615112,15,225,0
"63",63,2006,NA,6.90775537490845,0,1,0,0,0,0,0,0,0,0,1,0,4,1,8.90909090909091,5.92811012268066,18.0826320648193,5,430.1534,0,0,10,100,2.293452501297,1.60943794250488,15,225,0
"64",64,1996,NA,6.90775537490845,0,0,0,1,0,0,0,0,0,0,1,1,162,981,4.64285714285714,6.25427055358887,17.8458156585693,2,815.5507,0.357638888888889,0,20,400,1.73039054870605,5.09375,12,144,0
"65",65,1975,1991,4.60517024993896,0,1,0,0,0,0,0,1,0,0,0,0,16,7,10.7058823529412,8.65558242797852,14.7734117507935,0,1249.193,0,0,17,289,2.46009159088135,2.83321332931519,10,100,1
"66",66,2007,2015,NA,0,0,0,1,0,0,0,0,0,1,0,0,2,0,35.6666666666667,6.953200340271,18.9756240844727,6,1018.028,0,0,9,81,3.60186815261841,1.0986123085022,16,256,1
"67",67,1970,1979,4.60517024993896,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1.7,9.58290576934814,19.6216640472412,9,447.1406,0,0,10,100,0.993251800537109,0.6931471824646,19,361,1
"68",68,1995,2002,4.60517024993896,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0.375,7.08173799514771,15.3813390731812,8,298.3099,0,0,8,64,0.318453729152679,1.0986123085022,18,324,1
"69",69,1999,1999,2.30258512496948,1,0,0,0,0,1,0,0,0,0,0,0,2,0,6,10.4603071212769,17.8570919036865,10,538.7296,0,0,1,1,1.94591009616852,1.0986123085022,20,400,1
"70",70,1976,NA,2.30258512496948,1,0,0,0,0,1,0,0,1,0,0,1,65,1,5.48780487804878,10.4123191833496,18.5108947753906,10,458.615766666667,0.152777777777778,0.333333333333333,40,1600,1.86992418766022,4.18965482711792,20,400,0
"71",71,1982,NA,NA,1,0,0,0,0,1,0,0,1,0,0,0,3,0,10.9714285714286,10.5596055984497,17.9470901489258,10,162.5733,0,0,34,1156,2.48252296447754,1.3862943649292,20,400,0
"72",72,2014,NA,2.30258512496948,0,0,0,1,1,0,0,0,0,0,0,0,1,1,11.6666666666667,7.86927127838135,18.4376983642578,8,441.9939,0,0,2,4,2.53897380828857,0.6931471824646,18,324,0
"73",73,1994,NA,4.60517024993896,0,0,0,1,0,0,0,1,0,0,0,0,1,20,1.26086956521739,7.04614877700806,16.7273254394531,-2,999.8261,0,0,22,484,0.815749526023865,0.6931471824646,8,64,0
"74",74,2012,2014,6.90775537490845,0,0,0,1,0,0,0,1,0,0,0,0,50,82,6,7.85982227325439,18.3131790161133,-4,321.5979,0.429752066115702,0,3,9,1.94591009616852,3.93182563781738,6,36,1
"75",75,2008,2008,NA,0,0,0,1,0,0,0,0,0,1,0,0,2,1,31,6.94464159011841,18.9132080078125,5,1018.028,0,NA,1,1,3.465735912323,1.0986123085022,15,225,1
"76",76,2014,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,2,206,29,NA,16.7705821990967,-9,513.9543,0,0,2,4,3.40119743347168,1.0986123085022,1,1,0
"77",77,2012,NA,NA,0,0,0,1,0,0,0,0,0,0,1,0,36,44,6,6.61455249786377,16.7055950164795,5,343.7438,0.65702479338843,0.5,4,16,1.94591009616852,3.61091780662537,15,225,0
"78",78,2013,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,8.70068168640137,18.189510345459,-7,1305.438,0,0,3,9,1.0986123085022,0.6931471824646,3,9,0
"79",79,2001,2014,4.60517024993896,0,0,0,1,0,0,0,1,0,0,0,0,19,64,15.2857142857143,8.45432949066162,17.2726802825928,3,312.0478,0,0,14,196,2.79028820991516,2.99573230743408,13,169,1
"80",80,2004,NA,2.30258512496948,0,0,0,1,0,0,0,1,0,0,0,0,1,0,18.3846153846154,8.32934284210205,17.1368675231934,3,312.0478,0,0,12,144,2.96447968482971,0.6931471824646,13,169,0
"81",81,2012,NA,4.60517024993896,0,0,0,1,0,0,0,1,0,0,0,0,51,94,13,8.71167469024658,15.6456823348999,0,423.6434,0.331065759637188,0.142857142857143,4,16,2.63905739784241,3.95124363899231,10,100,0
"82",82,2003,NA,4.60517024993896,0,0,0,1,0,0,0,1,0,0,0,0,10,60,17.5714285714286,8.24068641662598,17.0857105255127,6,312.0478,0.625,0.5,13,169,2.92162418365479,2.39789533615112,16,256,0
"83",83,2012,NA,6.90775537490845,0,0,0,1,0,0,0,0,0,0,1,0,5,12,9.4,7.80625629425049,19.0412006378174,7,380.1505,0,0,4,16,2.34180569648743,1.7917594909668,17,289,0
